rate,title,category,count,brief,author
,神奇动物在哪里：原创电影剧本, 图书 / 虚构 ,7,"本书为《神奇动物在哪里》电影剧本中文版。原书由J.K.罗琳亲自创作，也是她的剧本处女作。英文原版见：https://read.douban.com/ebook/28089625/ “冒险家、神奇动物学家纽特·斯卡曼德刚…
",

,丹麦女孩, 图书 / 虚构 ,,"某种程度上，我们每个人都曾在自己的生命中努力挣扎，想要了解我们是谁，并且接受那个真实的自己。学会接纳，是我们的课题。 来自美国的格蕾塔为了自由，放弃加州的豪门生活，在丹麦展开艺术…
",

7.0,卡蜜拉, 图书 / 虚构 ,11,"《卡蜜拉》讲述一个名叫卡蜜拉的女吸血鬼诱惑年轻女性的故事，是女吸血鬼主题的先驱，也是吸血鬼文化的经典作品之一，早于《德古拉》25年，被多次改编成电影。 卡蜜拉是首个女同性恋吸血鬼，…
",

8.4,大亨小传, 图书 / 虚构 ,17,"《大亨小传》（亦即《了不起的盖茨比》）描写一个来自明尼苏达州的穷小子，一心追求纸醉金迷的“美国之梦”，到头来却陷入悲剧而不可自拔，遭到上流社会的冷落排挤。反映了那个癫狂迷乱的历史…
",

,生命中的好日子, 图书 / 虚构 ,2,"1977年春天，农村姑娘钟思存担负照顾市长残废儿子的重任嫁到墨家。丈夫墨池因受到过惨痛的创伤，外表冷漠尖刻，内心却极为善良温柔。 恢复高考后，墨池力排众议为思存争取到参加考试的机会，…
",

,一触即发, 图书 / 虚构 ,1,"本书是《一触即发》的电视剧小说，收录了编剧张勇最完整、原汁原味的剧情文字。小说选择了上世纪30年代的上海滩作为故事背景，讲述由日本人的雷霆计划引出的在一对从小被分离的双胞胎兄弟杨慕…
",

7.8,欢乐颂（全三册）, 图书 / 虚构 ,355,"海归的高管，初入职场的乖乖女，犯傻的小职员，胡同里不能低下头的公主加上富二代的小奸商。五个性格迥异的女生，五种不一样的青春，在一栋名为欢乐颂的公寓里，上演着关于成长，关于爱情，关…
",

,异乡人6，未知的旅程, 图书 / 虚构 ,3,"◆全球畅销数十年，多次占领《纽约时报》畅销榜第1名 1991年第一部面世以来，已经陆续出版了八部长篇小说，出版三十多个语种，全球持续畅销。 ◆改编美剧《古战场传奇》持续热播 2014年美…
",

7.4,我的朋友陈白露小姐：金屋一梦, 图书 / 虚构 ,61,"北京晨昏的繁华喧嚣如一梦，上海公馆的金粉花草也如一梦。隐居繁华里，陈白露出现在上海的武康路，她巧遇邻家女孩珠雨田，不经意地走进对方的人生。之后到来的金融大鳄，更带给她一段棋逢敌手…
",

9.8,哈利·波特与凤凰社, 图书 / 虚构 ,27,"此版本为中文翻译版，本书的英文原版：https://read.douban.com/ebook/23323306/ 「你能感知黑魔王的思想和情绪。校长认为不应任其继续下去，他要我教你怎样对黑魔王封闭你的思想。」黑暗…
",

,骆驼祥子, 图书 / 虚构 ,8,"北京青年祥子的梦想，就是挣出一辆车，就像身经百战的武士赢得一颗徽章，可以使他自由、独立。他早出晚归、风风雨雨地拼搏，打动了车厂老板的女儿虎妞，泼辣的她设计嫁给了这个比自己小十多岁…
",

9.4,致我们终将逝去的青春, 图书 / 虚构 ,69,"《致我们终将逝去的青春》作为首部被搬上大银幕的青春小说，由辛夷坞、赵薇强强合作，打造了中国电影动人的青春爱情经典，成为当年受瞩目的电影，更是掀起了全民“致青春”的热潮。此番推出白…
",

,在一起，就好, 图书 / 虚构 ,,"卡米耶，曾经是很有才华的艺术家，如今却再也没有勇气提笔作画。 费里贝尔，守着外祖母遗留的偌大公寓，个性温厚，却有社交障碍。 弗兰克，厨艺了得，个性不坏却有点自命不凡，被费里贝尔收…
",

9.2,阿甘正传, 图书 / 虚构 ,40,"本书是经典电影《阿甘正传》的小说原著。阿甘是常人眼中的弱智和白痴，但他天性善良单纯，加上天赋异禀，使他先后成为大学橄榄球明星、越战英雄、世界级乒乓球运动员、摔跤选手、国际象棋大师…
",

,曾许诺（全新修订版）, 图书 / 虚构 ,10,"桐华言情经典，曾许诺大结局，历时一年全新修订。 将爱情写到极致的上古爱情故事。 今生做过最骄傲的事，就是对你爱的承诺。 两百年，许多人、事已被遗忘，曾经的爱恨情仇也成了传说，却也…
",

9.8,哈利·波特与死亡圣器, 图书 / 虚构 ,60,"此版本为中文翻译版，本书的英文原版：https://read.douban.com/ebook/23323210/ 「“把哈利·波特交出来，”伏地魔的声音说，“你们谁也不会受伤。把哈利·波特交出来，我会让学校安然无…
",

,藪の中（竹林中）, 图书 / 虚构 ,9,"馬の通う路から隔たった藪の中、胸もとを刺された男の死骸が見つかった。死骸は多襄丸という名高い盗人のものらしい。複数の人間の証言を交えて、真相に迫っていく。 殺したのは、果たして誰…
",

9.4,爱在黎明破晓前&爱在日落黄昏时, 图书 / 虚构 ,120,"美国青年杰西和法国女孩赛琳在火车上不期而遇，怦然心动。火车到达维也纳时，杰西盛情邀请赛琳一起游览维也纳，即使第二天他就要坐飞机离开。他们一边漫步城市，一边谈论着各自的过去，和对生…
",

9.0,天使与魔鬼, 图书 / 虚构 ,19,"虔诚的上帝信徒——欧洲原子核研究组织的杰出科学家列奥纳多·维特勒毕生致力于以科学的手段证明神的存在。他和其养女、神秘妩媚的科学家维特多利亚在实验室里成功地制造出了一种极其强大的能…
",

,刺客信条：启示录, 图书 / 虚构 ,4,"基于育碧娱乐软件公司的畅销游戏“刺客信条：启示录”改编。 岁月蹉跎，伟大的刺客大师埃齐奥·奥迪托雷已将步入暮年，但他的智慧却有增无减，这把刺客之刃也愈加锋利。 如今，他又踏上了新…
",

,刺客信条：兄弟会, 图书 / 虚构 ,8,"我即将前往昔日帝国的心脏，去将我的敌人彻底铲除。 然而我深知罗马并非一天所能建成，区区一个刺客的力量也无法让它恢复昔日荣光。我是埃齐奥·奥迪托雷·达·佛罗伦萨，这是我的兄弟会。 …
",

7.4,尸案调查科, 图书 / 虚构 ,12,"本书是一本犯罪推理小说。讲述市公安局刑事技术室的几名技术警察如何运用刑事科学技术侦破重大疑难案件的故事。 七个烧脑的谋杀故事，七段黑暗的死亡回忆！ 威廉古堡：一家三口惨死豪华别墅…
",

,洛丽塔：电影剧本, 图书 / 虚构 ,2,"文体大师纳博科夫最受争议的作品《洛丽塔》曾激发了两位导演的灵感，两度将其搬上大屏幕，也促使纳博科夫尝试创作了自己的唯一一部电影剧本。主人公亨伯特·亨伯特，一位接受过高等教育，行为…
",

